order_id,customer_id,product_id,order_date,quantity,unit_price,discount,revenue,profit,region
ORD-53812597,CUST-211709,PROD-565599,2023-07-18,9,67.9,0.15,519.44,227.89,West
ORD-84581451,CUST-873577,PROD-956588,2023-07-18,12,2257.64,0.0,27091.68,7820.52,Central
ORD-74609413,CUST-113222,PROD-262490,2023-07-19,7,173.54,0.1,1093.3,595.67,East
ORD-60995807,CUST-544728,PROD-516359,2023-07-19,2,144.97,0.2,231.95,70.26,North
ORD-63943138,CUST-277469,PROD-763172,2023-07-19,15,636.84,0.0,9552.6,5036.25,Central
ORD-79942973,CUST-201123,PROD-757188,2023-07-19,13,18.0,0.15,198.9,107.41,West
ORD-17022783,CUST-517396,PROD-888052,2023-07-19,13,1618.0,0.3,14723.8,5486.48,South
ORD-62986443,CUST-211764,PROD-775674,2023-07-20,3,1991.53,0.0,5974.59,2398.86,Central
ORD-03782417,CUST-776049,PROD-730442,2023-07-20,5,87.41,0.15,371.49,173.99,Central
ORD-47021984,CUST-369867,PROD-191497,2023-07-20,10,1315.02,0.3,9205.14,4647.09,East
ORD-04316059,CUST-893931,PROD-615081,2023-07-20,11,312.29,0.0,3435.19,1711.6,East
ORD-94970080,CUST-970405,PROD-848126,2023-07-20,12,23.23,0.3,195.13,74.51,North
ORD-54425357,CUST-870123,PROD-518471,2023-07-21,12,32.66,0.0,391.92,181.32,West
ORD-22656701,CUST-139656,PROD-483594,2023-07-21,13,251.32,0.2,2613.73,1272.02,North
ORD-83089541,CUST-741840,PROD-740649,2023-07-21,14,776.62,0.15,9241.78,3555.12,West
ORD-13562516,CUST-988073,PROD-348581,2023-07-21,2,37.05,0.0,74.1,24.36,West
ORD-04562266,CUST-926452,PROD-677815,2023-07-22,14,24.04,0.0,336.56,144.62,West
ORD-00698288,CUST-312434,PROD-580280,2023-07-22,2,174.54,0.1,314.17,132.39,North
ORD-80131757,CUST-093957,PROD-133629,2023-07-22,15,65.33,0.1,881.95,336.02,West
ORD-77499828,CUST-595604,PROD-677815,2023-07-23,1,24.04,0.1,21.64,9.3,West
ORD-42829235,CUST-118466,PROD-665569,2023-07-23,2,38.57,0.0,77.14,31.74,Central
ORD-24552894,CUST-711948,PROD-096853,2023-07-23,9,69.44,0.0,624.96,216.9,West
ORD-83194587,CUST-246308,PROD-247160,2023-07-23,11,21.93,0.15,205.05,109.49,South
ORD-79447508,CUST-537220,PROD-059120,2023-07-24,12,224.45,0.0,2693.4,963.72,East
ORD-43300843,CUST-104358,PROD-348581,2023-07-24,12,37.05,0.2,355.68,116.93,East
ORD-50530240,CUST-999065,PROD-039662,2023-07-24,2,784.84,0.15,1334.23,621.3,North
ORD-29798391,CUST-372044,PROD-936678,2023-07-24,14,25.14,0.05,334.36,140.98,South
ORD-52668701,CUST-999065,PROD-891561,2023-07-24,7,68.39,0.05,454.79,187.46,North
ORD-52043717,CUST-021660,PROD-775674,2023-07-24,6,1991.53,0.05,11351.72,4557.83,East
ORD-93786876,CUST-155013,PROD-395714,2023-07-24,8,1838.95,0.05,13976.02,5700.38,West
ORD-86027018,CUST-943330,PROD-795618,2023-07-25,3,772.66,0.05,2202.08,1027.11,South
ORD-31625344,CUST-751725,PROD-966053,2023-07-25,4,27.49,0.1,98.96,35.78,West
ORD-47539768,CUST-150302,PROD-039662,2023-07-25,12,784.84,0.2,7534.46,3508.51,Central
ORD-79224942,CUST-544599,PROD-059120,2023-07-26,6,224.45,0.2,1077.36,385.49,South
ORD-02485670,CUST-431985,PROD-677815,2023-07-27,11,24.04,0.0,264.44,113.63,West
ORD-54407742,CUST-397285,PROD-169975,2023-07-27,4,1108.24,0.05,4211.31,1422.07,Central
ORD-92568823,CUST-211764,PROD-134752,2023-07-27,3,274.23,0.05,781.56,402.33,Central
ORD-71335819,CUST-728315,PROD-106996,2023-07-27,3,1629.21,0.0,4887.63,1762.68,East
ORD-61124920,CUST-109408,PROD-582128,2023-07-27,7,1529.36,0.0,10705.52,3257.31,North
ORD-02072613,CUST-746789,PROD-332427,2023-07-28,12,24.2,0.0,290.4,101.52,East
ORD-48450801,CUST-435224,PROD-367544,2023-07-28,10,44.74,0.0,447.4,128.4,Central
ORD-14170740,CUST-076360,PROD-547578,2023-07-28,1,62.53,0.05,59.4,28.84,West
ORD-65822370,CUST-538560,PROD-468537,2023-07-28,8,294.76,0.0,2358.08,1106.32,East
ORD-41607236,CUST-751178,PROD-442115,2023-07-28,8,35.08,0.1,252.58,70.92,East
ORD-18249720,CUST-374837,PROD-233045,2023-07-28,9,31.24,0.0,281.16,101.88,West
ORD-90242959,CUST-379085,PROD-565599,2023-07-29,12,67.9,0.15,692.58,303.86,West
ORD-86371541,CUST-129557,PROD-565599,2023-07-29,2,67.9,0.2,108.64,47.66,North
ORD-72464987,CUST-870123,PROD-154902,2023-07-29,9,28.02,0.1,226.96,100.68,West
ORD-41795843,CUST-926195,PROD-447641,2023-07-29,6,45.06,0.15,229.81,98.48,East
ORD-26273489,CUST-587319,PROD-474972,2023-07-29,5,1831.08,0.0,9155.4,3642.0,East
ORD-60199170,CUST-706601,PROD-215787,2023-07-29,11,970.32,0.05,10139.84,4509.28,East
ORD-13598319,CUST-772220,PROD-061402,2023-07-29,1,17.9,0.15,15.21,6.22,Central
ORD-33370527,CUST-253396,PROD-332427,2023-07-29,15,24.2,0.0,363.0,126.9,Central
ORD-87126506,CUST-800516,PROD-520071,2023-07-30,15,57.54,0.2,690.48,310.08,North
ORD-67224432,CUST-692377,PROD-062399,2023-07-30,8,1348.16,0.2,8628.22,3465.22,East
ORD-42112687,CUST-478021,PROD-809537,2023-07-30,12,42.26,0.1,456.41,173.34,North
ORD-93000608,CUST-139822,PROD-335843,2023-07-30,6,64.2,0.0,385.2,211.86,Central
ORD-14460039,CUST-434237,PROD-214337,2023-07-30,4,140.9,0.0,563.6,305.16,West
ORD-77693992,CUST-461991,PROD-090303,2023-07-30,13,50.07,0.0,650.91,303.03,West
ORD-93116972,CUST-716303,PROD-090303,2023-07-30,2,50.07,0.0,100.14,46.62,East
ORD-20062388,CUST-646294,PROD-262490,2023-07-31,13,173.54,0.0,2256.02,1229.15,West
ORD-53885724,CUST-356447,PROD-848126,2023-07-31,1,23.23,0.05,22.07,8.43,West
ORD-16567991,CUST-918149,PROD-105630,2023-07-31,9,2484.65,0.0,22361.85,11324.88,Central
ORD-42368913,CUST-924166,PROD-100511,2023-07-31,11,144.46,0.0,1589.06,561.99,East
ORD-13847035,CUST-590483,PROD-888052,2023-07-31,1,1618.0,0.0,1618.0,602.91,Central
ORD-50746533,CUST-885319,PROD-379384,2023-08-01,5,1881.81,0.0,9409.05,3016.95,South
ORD-45314418,CUST-678897,PROD-735267,2023-08-01,12,194.07,0.0,2328.84,1104.48,East
ORD-90620723,CUST-263687,PROD-900201,2023-08-01,8,63.57,0.0,508.56,249.28,Central
ORD-37787675,CUST-456442,PROD-447641,2023-08-02,15,45.06,0.3,473.13,202.76,West
ORD-27452614,CUST-020197,PROD-512316,2023-08-02,11,45.56,0.2,400.93,160.07,East
ORD-27191352,CUST-147519,PROD-900201,2023-08-02,11,63.57,0.15,594.38,291.35,South
ORD-95326033,CUST-851606,PROD-062399,2023-08-02,9,1348.16,0.15,10313.42,4142.02,Central
ORD-08947396,CUST-162843,PROD-757188,2023-08-02,2,18.0,0.2,28.8,15.55,East
ORD-20371882,CUST-235650,PROD-490336,2023-08-03,8,130.71,0.0,1045.68,498.56,East
ORD-64907394,CUST-388521,PROD-702168,2023-08-03,13,53.24,0.0,692.12,327.6,Central
ORD-73262011,CUST-478021,PROD-469609,2023-08-03,15,124.04,0.05,1767.57,660.92,North
ORD-80116017,CUST-716303,PROD-847687,2023-08-04,14,189.42,0.0,2651.88,1135.12,East
ORD-44064075,CUST-638590,PROD-876597,2023-08-04,4,46.13,0.0,184.52,61.52,South
ORD-70511330,CUST-967722,PROD-039662,2023-08-04,9,784.84,0.05,6710.38,3124.77,West
ORD-73866417,CUST-689101,PROD-134752,2023-08-04,14,274.23,0.1,3455.3,1778.74,South
ORD-42228135,CUST-393683,PROD-618794,2023-08-04,9,114.28,0.05,977.09,369.19,East
ORD-21036056,CUST-397285,PROD-740649,2023-08-04,10,776.62,0.0,7766.2,2987.5,Central
ORD-95397475,CUST-945568,PROD-061402,2023-08-05,1,17.9,0.3,12.53,5.12,East
ORD-74075873,CUST-152672,PROD-992632,2023-08-05,15,2.93,0.0,43.95,13.2,East
ORD-24183662,CUST-484060,PROD-220345,2023-08-05,11,69.7,0.0,766.7,269.06,South
ORD-26633057,CUST-684458,PROD-359818,2023-08-06,6,282.08,0.0,1692.48,635.82,North
ORD-31134761,CUST-967722,PROD-437820,2023-08-06,2,240.94,0.0,481.88,236.94,West
ORD-90117271,CUST-893419,PROD-105630,2023-08-07,9,2484.65,0.15,19007.57,9626.15,East
ORD-60124062,CUST-215725,PROD-474882,2023-08-07,13,5.31,0.2,55.22,30.06,North
ORD-86917275,CUST-614431,PROD-702168,2023-08-07,1,53.24,0.05,50.58,23.94,East
ORD-89719352,CUST-550171,PROD-317220,2023-08-07,15,44.17,0.0,662.55,355.35,North
ORD-63087972,CUST-408727,PROD-128223,2023-08-07,4,46.39,0.2,148.45,72.93,North
ORD-69761440,CUST-999065,PROD-041098,2023-08-08,4,24.37,0.0,97.48,51.44,North
ORD-73576562,CUST-647212,PROD-154616,2023-08-08,10,20.9,0.0,209.0,99.9,Central
ORD-25133077,CUST-484837,PROD-048880,2023-08-08,4,145.08,0.0,580.32,299.8,East
ORD-79055534,CUST-662938,PROD-730442,2023-08-08,9,87.41,0.05,747.36,350.04,North
ORD-09435686,CUST-809489,PROD-341761,2023-08-08,2,2053.0,0.0,4106.0,1375.0,North
ORD-46133342,CUST-749566,PROD-891561,2023-08-08,12,68.39,0.1,738.61,304.45,East
ORD-46164937,CUST-598174,PROD-618794,2023-08-09,7,114.28,0.3,559.97,211.58,North
ORD-92305372,CUST-402376,PROD-615081,2023-08-09,11,312.29,0.2,2748.15,1369.28,Central
ORD-73719157,CUST-021788,PROD-063465,2023-08-09,11,590.77,0.15,5523.7,1967.43,North
ORD-99588084,CUST-685399,PROD-367544,2023-08-09,7,44.74,0.1,281.86,80.89,South
ORD-60066696,CUST-323737,PROD-468537,2023-08-10,12,294.76,0.0,3537.12,1659.48,West
ORD-35910567,CUST-537522,PROD-763172,2023-08-10,7,636.84,0.05,4234.99,2232.74,East
ORD-30030407,CUST-856138,PROD-277230,2023-08-10,10,23.83,0.2,190.64,84.4,Central
ORD-40355749,CUST-810993,PROD-233045,2023-08-10,15,31.24,0.2,374.88,135.84,Central
ORD-43553517,CUST-435671,PROD-447641,2023-08-10,12,45.06,0.3,378.5,162.2,North
ORD-32545938,CUST-402265,PROD-338574,2023-08-11,8,140.36,0.2,898.3,452.1,South
ORD-31230653,CUST-127260,PROD-096853,2023-08-11,3,69.44,0.1,187.49,65.07,West
ORD-77969993,CUST-021788,PROD-062399,2023-08-11,10,1348.16,0.05,12807.52,5143.68,North
ORD-09101121,CUST-369867,PROD-992632,2023-08-11,12,2.93,0.3,24.61,7.39,East
ORD-10811528,CUST-741840,PROD-765354,2023-08-11,10,49.82,0.0,498.2,230.6,West
ORD-12160367,CUST-550994,PROD-775674,2023-08-11,12,1991.53,0.0,23898.36,9595.44,North
ORD-27909293,CUST-817719,PROD-133629,2023-08-11,9,65.33,0.05,558.57,212.81,South
ORD-38268680,CUST-020554,PROD-154616,2023-08-11,4,20.9,0.15,71.06,33.97,North
ORD-02092064,CUST-109674,PROD-730442,2023-08-11,9,87.41,0.0,786.69,368.46,Central
ORD-21024571,CUST-148338,PROD-154902,2023-08-11,9,28.02,0.0,252.18,111.87,Central
ORD-37297270,CUST-842572,PROD-677815,2023-08-11,6,24.04,0.1,129.82,55.78,East
ORD-50863219,CUST-924166,PROD-233045,2023-08-12,8,31.24,0.1,224.93,81.5,East
ORD-33585764,CUST-509660,PROD-169975,2023-08-12,5,1108.24,0.3,3878.84,1309.81,North
ORD-89154398,CUST-379085,PROD-900201,2023-08-12,8,63.57,0.05,483.13,236.82,West
ORD-99685977,CUST-457665,PROD-746112,2023-08-12,15,2.95,0.0,44.25,18.45,Central
ORD-96382094,CUST-375734,PROD-512316,2023-08-12,13,45.56,0.15,503.44,201.0,North
ORD-64089790,CUST-452646,PROD-442115,2023-08-12,14,35.08,0.0,491.12,137.9,West
ORD-12804383,CUST-689101,PROD-215787,2023-08-12,1,970.32,0.2,776.26,345.21,South
ORD-08240533,CUST-477964,PROD-341761,2023-08-12,14,2053.0,0.2,22993.6,7700.0,West
ORD-84157415,CUST-751178,PROD-486426,2023-08-13,4,163.03,0.0,652.12,252.8,East
ORD-94171867,CUST-602276,PROD-872556,2023-08-13,11,1146.27,0.0,12608.97,4675.33,Central
ORD-17112694,CUST-982848,PROD-582128,2023-08-13,14,1529.36,0.1,19269.94,5863.16,East
ORD-83078213,CUST-949912,PROD-720755,2023-08-13,5,204.85,0.15,870.61,351.05,North
ORD-92288505,CUST-746902,PROD-862390,2023-08-13,10,174.02,0.0,1740.2,707.4,South
ORD-63729365,CUST-614431,PROD-565599,2023-08-13,4,67.9,0.3,190.12,83.41,East
ORD-18796332,CUST-837670,PROD-335843,2023-08-14,7,64.2,0.0,449.4,247.17,East
ORD-45098621,CUST-423727,PROD-316582,2023-08-14,13,34.05,0.05,420.52,169.32,East
ORD-32269729,CUST-079053,PROD-841107,2023-08-14,1,2377.99,0.1,2140.19,1048.5,West
ORD-64655229,CUST-541969,PROD-341761,2023-08-14,13,2053.0,0.1,24020.1,8043.75,West
ORD-91005181,CUST-072663,PROD-740649,2023-08-15,6,776.62,0.0,4659.72,1792.5,Central
ORD-90373370,CUST-274499,PROD-518471,2023-08-16,4,32.66,0.15,111.04,51.37,Central
ORD-53977484,CUST-056387,PROD-735267,2023-08-16,1,194.07,0.2,155.26,73.63,East
ORD-67178470,CUST-801753,PROD-474882,2023-08-16,3,5.31,0.2,12.74,6.94,West
ORD-87089650,CUST-953844,PROD-841107,2023-08-16,4,2377.99,0.0,9511.96,4660.0,Central
ORD-55102800,CUST-195496,PROD-090303,2023-08-17,10,50.07,0.0,500.7,233.1,East
ORD-09761029,CUST-197961,PROD-735536,2023-08-17,8,2043.85,0.3,11445.56,4822.38,Central
ORD-72303676,CUST-954133,PROD-022735,2023-08-17,5,27.2,0.0,136.0,62.55,South
ORD-62595119,CUST-547168,PROD-547578,2023-08-17,3,62.53,0.0,187.59,91.08,Central
ORD-07255525,CUST-471980,PROD-247160,2023-08-17,1,21.93,0.0,21.93,11.71,South
ORD-83092607,CUST-389257,PROD-862390,2023-08-17,1,174.02,0.3,121.81,49.52,North
ORD-25401586,CUST-296400,PROD-332427,2023-08-18,12,24.2,0.3,203.28,71.06,West
ORD-67833870,CUST-329500,PROD-891561,2023-08-18,9,68.39,0.2,492.41,202.97,North
ORD-79368839,CUST-427382,PROD-848126,2023-08-18,4,23.23,0.05,88.27,33.71,South
ORD-73461212,CUST-446338,PROD-215787,2023-08-18,12,970.32,0.05,11061.65,4919.21,North
ORD-69250824,CUST-178202,PROD-746112,2023-08-19,4,2.95,0.2,9.44,3.94,Central
ORD-90750451,CUST-407714,PROD-316582,2023-08-19,5,34.05,0.0,170.25,68.55,Central
ORD-83443605,CUST-112121,PROD-809537,2023-08-19,2,42.26,0.3,59.16,22.47,North
ORD-21099517,CUST-851606,PROD-105630,2023-08-19,10,2484.65,0.2,19877.2,10066.56,Central
ORD-75645552,CUST-939935,PROD-395714,2023-08-19,2,1838.95,0.3,2574.53,1050.07,North
ORD-29165342,CUST-878752,PROD-718103,2023-08-20,9,116.62,0.15,892.14,311.05,East
ORD-65859960,CUST-809489,PROD-775674,2023-08-20,4,1991.53,0.15,6771.2,2718.71,North
ORD-62367610,CUST-432737,PROD-041098,2023-08-20,14,24.37,0.3,238.83,126.03,South
ORD-99713899,CUST-489366,PROD-395714,2023-08-20,4,1838.95,0.0,7355.8,3000.2,North
ORD-28836664,CUST-263770,PROD-142306,2023-08-20,2,1600.63,0.05,3041.2,1406.19,West
ORD-63827162,CUST-437201,PROD-763172,2023-08-21,3,636.84,0.05,1814.99,956.89,East
ORD-18857427,CUST-912373,PROD-154616,2023-08-21,7,20.9,0.0,146.3,69.93,Central
ORD-17224434,CUST-538560,PROD-516359,2023-08-21,10,144.97,0.05,1377.21,417.14,East
ORD-20229614,CUST-602276,PROD-966053,2023-08-21,2,27.49,0.0,54.98,19.88,Central
ORD-11709837,CUST-504887,PROD-062399,2023-08-21,14,1348.16,0.05,17930.53,7201.15,East
ORD-36561710,CUST-856138,PROD-023384,2023-08-21,8,220.4,0.3,1234.24,660.63,Central
ORD-67344255,CUST-687479,PROD-795618,2023-08-21,13,772.66,0.3,7031.21,3279.55,East
ORD-57471398,CUST-402376,PROD-096853,2023-08-21,1,69.44,0.0,69.44,24.1,Central
ORD-74848403,CUST-893419,PROD-034487,2023-08-21,6,141.56,0.3,594.55,197.23,East
ORD-24635722,CUST-353254,PROD-519919,2023-08-21,1,150.03,0.1,135.03,54.84,North
ORD-21040619,CUST-625670,PROD-966053,2023-08-21,3,27.49,0.0,82.47,29.82,Central
ORD-53331638,CUST-558653,PROD-220345,2023-08-22,9,69.7,0.0,627.3,220.14,South
ORD-58253346,CUST-879735,PROD-395714,2023-08-22,2,1838.95,0.3,2574.53,1050.07,West
ORD-08860699,CUST-374837,PROD-169975,2023-08-23,14,1108.24,0.3,10860.75,3667.45,West
ORD-25629162,CUST-508206,PROD-720755,2023-08-23,3,204.85,0.0,614.55,247.8,East
ORD-38799975,CUST-109849,PROD-872556,2023-08-24,13,1146.27,0.05,14156.43,5249.12,South
ORD-88518592,CUST-519167,PROD-683253,2023-08-24,12,30.08,0.2,288.77,123.55,Central
ORD-70507635,CUST-835543,PROD-082682,2023-08-24,1,127.46,0.0,127.46,58.09,North
ORD-82100797,CUST-595604,PROD-105630,2023-08-24,6,2484.65,0.0,14907.9,7549.92,West
ORD-92650796,CUST-021660,PROD-713886,2023-08-24,15,324.61,0.0,4869.15,2371.05,East
ORD-44357028,CUST-820003,PROD-106996,2023-08-25,14,1629.21,0.3,15966.26,5758.09,South
ORD-11445606,CUST-365968,PROD-519919,2023-08-25,11,150.03,0.2,1320.26,536.18,West
ORD-60928015,CUST-589443,PROD-071235,2023-08-25,1,1615.39,0.1,1453.85,701.45,West
ORD-31230907,CUST-337512,PROD-936678,2023-08-26,13,25.14,0.05,310.48,130.91,North
ORD-20919194,CUST-870123,PROD-247160,2023-08-26,5,21.93,0.05,104.17,55.62,West
ORD-13659424,CUST-516950,PROD-215787,2023-08-26,10,970.32,0.05,9218.04,4099.35,West
ORD-80987897,CUST-075918,PROD-348581,2023-08-26,13,37.05,0.1,433.49,142.51,South
ORD-45096719,CUST-020197,PROD-169975,2023-08-26,10,1108.24,0.3,7757.68,2619.61,East
ORD-30555382,CUST-924166,PROD-100511,2023-08-27,2,144.46,0.2,231.14,81.74,East
ORD-76690233,CUST-263770,PROD-348581,2023-08-27,11,37.05,0.0,407.55,133.98,West
ORD-11396020,CUST-809489,PROD-712977,2023-08-27,3,22.15,0.0,66.45,29.76,North
ORD-54722637,CUST-944433,PROD-214337,2023-08-27,6,140.9,0.0,845.4,457.74,North
ORD-08283840,CUST-893931,PROD-872556,2023-08-27,10,1146.27,0.0,11462.7,4250.3,East
ORD-79604836,CUST-540487,PROD-617072,2023-08-27,1,69.76,0.0,69.76,22.92,West
ORD-73389614,CUST-144592,PROD-547578,2023-08-27,15,62.53,0.3,656.56,318.78,East
ORD-20064917,CUST-508206,PROD-615081,2023-08-27,9,312.29,0.2,2248.49,1120.32,East
ORD-58048526,CUST-749566,PROD-867111,2023-08-27,12,1533.73,0.15,15644.05,6017.69,East
ORD-05256476,CUST-382144,PROD-332427,2023-08-28,14,24.2,0.1,304.92,106.6,East
ORD-40300029,CUST-585706,PROD-683253,2023-08-28,2,30.08,0.05,57.15,24.45,Central
ORD-51183270,CUST-518557,PROD-547578,2023-08-28,7,62.53,0.1,393.94,191.27,South
ORD-46761988,CUST-970405,PROD-618068,2023-08-28,8,96.1,0.15,653.48,205.77,North
ORD-74443838,CUST-323737,PROD-214337,2023-08-28,4,140.9,0.3,394.52,213.61,West
ORD-91903472,CUST-959391,PROD-338574,2023-08-29,4,140.36,0.15,477.22,240.18,Central
ORD-93398958,CUST-581746,PROD-335843,2023-08-30,8,64.2,0.0,513.6,282.48,South
ORD-23969006,CUST-963570,PROD-082682,2023-08-30,13,127.46,0.0,1656.98,755.17,South
ORD-04378022,CUST-645123,PROD-474972,2023-08-30,13,1831.08,0.15,20233.43,8048.82,Central
ORD-44241963,CUST-776049,PROD-341120,2023-08-30,3,18.11,0.3,38.03,17.32,Central
ORD-82701716,CUST-029932,PROD-090303,2023-08-30,11,50.07,0.0,550.77,256.41,Central
ORD-59188144,CUST-296400,PROD-951955,2023-08-30,10,190.36,0.3,1332.52,502.81,West
ORD-44568441,CUST-245943,PROD-062399,2023-08-30,14,1348.16,0.0,18874.24,7580.16,South
ORD-19476085,CUST-737677,PROD-247160,2023-08-31,12,21.93,0.0,263.16,140.52,East
ORD-99827481,CUST-579875,PROD-128223,2023-08-31,14,46.39,0.3,454.62,223.34,North
ORD-69781972,CUST-732027,PROD-720755,2023-08-31,1,204.85,0.0,204.85,82.6,Central
ORD-24646848,CUST-094554,PROD-516359,2023-08-31,14,144.97,0.0,2029.58,614.74,South
ORD-36265903,CUST-840628,PROD-121700,2023-08-31,1,139.42,0.15,118.51,62.31,North
ORD-71138944,CUST-144592,PROD-367544,2023-09-01,1,44.74,0.0,44.74,12.84,East
ORD-26755874,CUST-105295,PROD-582128,2023-09-01,2,1529.36,0.0,3058.72,930.66,South
ORD-32699283,CUST-093957,PROD-740649,2023-09-02,11,776.62,0.0,8542.82,3286.25,West
ORD-52000081,CUST-155013,PROD-643359,2023-09-02,11,8.87,0.3,68.3,35.34,West
ORD-80672057,CUST-402265,PROD-603674,2023-09-02,13,1554.14,0.0,20203.82,7746.7,South
ORD-37119189,CUST-408727,PROD-615081,2023-09-02,6,312.29,0.05,1780.05,886.92,North
ORD-27965482,CUST-365968,PROD-061402,2023-09-02,12,17.9,0.05,204.06,83.45,West
ORD-42917860,CUST-075747,PROD-757188,2023-09-03,3,18.0,0.0,54.0,29.16,Central
ORD-25348466,CUST-432772,PROD-992635,2023-09-03,15,74.31,0.05,1058.92,406.84,East
ORD-28141428,CUST-916066,PROD-468537,2023-09-03,2,294.76,0.2,471.62,221.26,South
ORD-89018574,CUST-705532,PROD-683253,2023-09-03,7,30.08,0.2,168.45,72.07,East
ORD-28044384,CUST-557200,PROD-847687,2023-09-04,2,189.42,0.0,378.84,162.16,East
ORD-28087928,CUST-162309,PROD-876597,2023-09-04,13,46.13,0.0,599.69,199.94,South
ORD-54844336,CUST-970405,PROD-059120,2023-09-04,9,224.45,0.05,1919.05,686.65,North
ORD-05966216,CUST-369867,PROD-177940,2023-09-04,5,78.72,0.15,334.56,100.55,East
ORD-78328714,CUST-592723,PROD-474882,2023-09-04,15,5.31,0.15,67.7,36.85,East
ORD-89592347,CUST-969635,PROD-641656,2023-09-05,8,576.93,0.0,4615.44,1659.76,North
ORD-75657010,CUST-423727,PROD-992635,2023-09-05,10,74.31,0.1,668.79,256.95,East
ORD-81885621,CUST-296400,PROD-106996,2023-09-05,4,1629.21,0.1,5865.16,2115.22,West
ORD-50874988,CUST-110621,PROD-048880,2023-09-05,1,145.08,0.3,101.56,52.47,East
ORD-65950921,CUST-242393,PROD-262490,2023-09-06,12,173.54,0.1,1874.23,1021.14,East
ORD-53699183,CUST-470664,PROD-447641,2023-09-06,2,45.06,0.0,90.12,38.62,West
ORD-28726442,CUST-409375,PROD-720755,2023-09-06,14,204.85,0.3,2007.53,809.48,East
ORD-52130117,CUST-312434,PROD-519919,2023-09-06,5,150.03,0.0,750.15,304.65,North
ORD-39130474,CUST-504887,PROD-565599,2023-09-07,10,67.9,0.0,679.0,297.9,East
ORD-74539840,CUST-139656,PROD-992632,2023-09-07,15,2.93,0.05,41.75,12.54,North
ORD-38786509,CUST-439624,PROD-023384,2023-09-07,10,220.4,0.0,2204.0,1179.7,West
ORD-14389896,CUST-452646,PROD-683253,2023-09-07,2,30.08,0.3,42.11,18.02,West
ORD-06817211,CUST-063353,PROD-520071,2023-09-07,15,57.54,0.3,604.17,271.32,East
ORD-25717975,CUST-575686,PROD-603674,2023-09-07,14,1554.14,0.3,15230.57,5839.82,Central
ORD-43267750,CUST-409759,PROD-622194,2023-09-08,2,55.65,0.2,89.04,28.13,Central
ORD-36693421,CUST-647212,PROD-106996,2023-09-08,1,1629.21,0.2,1303.37,470.05,Central
ORD-39384691,CUST-379085,PROD-133629,2023-09-08,6,65.33,0.05,372.38,141.87,West
